 Day of  Day of
 sim.     year         Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1     123         -16903.          7357.          9491.            55.            -0.
    2     124         -16986.          7227.          9622.           109.           -28.
    3     125         -17068.          6969.          9720.           164.          -216.
    4     126         -17149.          6622.          9792.           217.          -518.
    5     127         -17230.          6264.          9860.           271.          -835.
    6     128         -17309.          5925.          9930.           323.         -1131.
    7     129         -17387.          5611.         10003.           376.         -1397.
    8     130         -17464.          5320.         10080.           428.         -1636.
    9     131         -17539.          5051.         10159.           480.         -1850.
   10     132         -17614.          4799.         10241.           531.         -2043.
   11     133         -17688.          4563.         10323.           583.         -2219.
   12     134         -17760.          4340.         10406.           633.         -2380.
   13     135         -17831.          4128.         10490.           684.         -2529.
   14     136         -17901.          3927.         10572.           734.         -2668.
   15     137         -17969.          3734.         10655.           784.         -2796.
   16     138         -18036.          3550.         10736.           833.         -2917.
   17     139         -18102.          3374.         10817.           881.         -3030.
   18     140         -18167.          3204.         10896.           930.         -3137.
   19     141         -18230.          3041.         10974.           977.         -3238.
   20     142         -18292.          2885.         11051.          1024.         -3333.
   21     143         -18353.          2734.         11125.          1071.         -3423.
   22     144         -18412.          2589.         11199.          1116.         -3509.
   23     145         -18470.          2449.         11270.          1161.         -3589.
   24     146         -18526.          2315.         11340.          1206.         -3666.
   25     147         -18581.          2185.         11408.          1250.         -3739.
   26     148         -18635.          2061.         11473.          1293.         -3807.
   27     149         -18687.          1942.         11537.          1335.         -3872.
   28     150         -18737.          1828.         11599.          1376.         -3933.
   29     151         -18786.          1719.         11659.          1417.         -3991.
   30     152         -18834.          1615.         11716.          1456.         -4046.
   31     153         -18879.          1515.         11772.          1495.         -4097.
   32     154         -18924.          1421.         11825.          1533.         -4145.
   33     155         -18967.          1331.         11876.          1570.         -4189.
   34     156         -19008.          1246.         11925.          1606.         -4231.
   35     157         -19047.          1165.         11971.          1641.         -4269.
   36     158         -19085.          1089.         12016.          1675.         -4305.
   37     159         -19122.          1018.         12058.          1708.         -4337.
   38     160         -19157.           952.         12097.          1740.         -4367.
   39     161         -19190.           891.         12135.          1771.         -4393.
   40     162         -19221.           834.         12170.          1801.         -4417.
   41     163         -19251.           782.         12202.          1830.         -4437.
   42     164         -19280.           734.         12233.          1858.         -4455.
   43     165         -19306.           692.         12260.          1884.         -4470.
   44     166         -19331.           654.         12286.          1909.         -4482.
   45     167         -19354.           620.         12309.          1933.         -4491.
   46     168         -19376.           592.         12330.          1956.         -4498.
   47     169         -19395.           568.         12348.          1978.         -4501.
   48     170         -19414.           549.         12364.          1998.         -4502.
   49     171         -19430.           535.         12377.          2018.         -4500.
   50     172         -19445.           525.         12388.          2036.         -4496.
   51     173         -19458.           521.         12396.          2052.         -4488.
   52     174         -19469.           521.         12402.          2068.         -4478.
   53     175         -19478.           525.         12406.          2082.         -4465.
   54     176         -19486.           535.         12407.          2095.         -4450.
   55     177         -19492.           549.         12406.          2106.         -4432.
   56     178         -19497.           568.         12402.          2116.         -4411.
   57     179         -19499.           592.         12396.          2125.         -4387.
   58     180         -19500.           620.         12387.          2132.         -4361.
   59     181         -19499.           653.         12376.          2138.         -4332.
   60     182         -19497.           691.         12362.          2143.         -4301.
   61     183         -19492.           733.         12346.          2146.         -4267.
   62     184         -19486.           780.         12328.          2148.         -4230.
   63     185         -19478.           832.         12307.          2149.         -4191.
   64     186         -19469.           888.         12283.          2148.         -4150.
   65     187         -19458.           949.         12257.          2145.         -4105.
   66     188         -19445.          1015.         12229.          2142.         -4059.
   67     189         -19430.          1085.         12199.          2137.         -4010.
   68     190         -19414.          1160.         12166.          2130.         -3958.
   69     191         -19395.          1239.         12130.          2122.         -3904.
   70     192         -19376.          1323.         12093.          2113.         -3847.
   71     193         -19354.          1411.         12052.          2102.         -3789.
   72     194         -19331.          1503.         12010.          2090.         -3727.
   73     195         -19306.          1601.         11965.          2076.         -3664.
   74     196         -19280.          1702.         11918.          2062.         -3598.
   75     197         -19251.          1808.         11869.          2045.         -3530.
   76     198         -19221.          1918.         11817.          2027.         -3459.
   77     199         -19190.          2032.         11763.          2008.         -3387.
   78     200         -19157.          2151.         11706.          1988.         -3312.
   79     201         -19122.          2274.         11648.          1966.         -3235.
   80     202         -19085.          2400.         11587.          1942.         -3156.
   81     203         -19047.          2532.         11524.          1918.         -3074.
   82     204         -19008.          2667.         11459.          1892.         -2991.
   83     205         -18967.          2806.         11391.          1864.         -2905.
   84     206         -18924.          2949.         11321.          1836.         -2818.
   85     207         -18879.          3096.         11250.          1806.         -2728.
   86     208         -18834.          3247.         11176.          1774.         -2637.
   87     209         -18786.          3401.         11100.          1742.         -2543.
   88     210         -18737.          3560.         11021.          1708.         -2448.
   89     211         -18687.          3722.         10941.          1672.         -2351.
   90     212         -18635.          3888.         10859.          1636.         -2252.
   91     213         -18581.          4057.         10775.          1598.         -2151.
   92     214         -18526.          4230.         10688.          1559.         -2049.
   93     215         -18470.          4407.         10600.          1519.         -1945.
   94     216         -18412.          4587.         10510.          1477.         -1839.
   95     217         -18353.          4770.         10417.          1434.         -1731.
   96     218         -18292.          4956.         10323.          1391.         -1622.
   97     219         -18230.          5146.         10227.          1346.         -1512.
   98     220         -18167.          5339.         10129.          1299.         -1399.
   99     221         -18102.          5535.         10030.          1252.         -1286.
  100     222         -18036.          5734.          9928.          1204.         -1171.
  101     223         -17969.          5935.          9825.          1154.         -1055.
  102     224         -17901.          6140.          9720.          1104.          -937.
